Payment Date,Amount,Organisational Unit
2018-06-26,2552.28,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,30211.08,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-15,857.15,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-15,857.14,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-15,24000.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,16206.64,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,4631.08,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,917.04,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,2565.52,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,9935.17,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,552.40,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,3317.33,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,1778.88,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,4711.80,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,552.40,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-13,1052.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-14,769.00,Economy and Environment (obsolete)-Regeneration - Capital
2018-06-18,582.56,Communities & Service Support (obsolete)-Museums & Arts
2018-06-26,470.15,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-29,558.72,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-29,1285.00,Children and Young People (obsolete)-Childrens Care Services
2018-06-14,12316.64,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-14,10435.96,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-19,10435.96,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-20,1644.24,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-21,0.03,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-21,2246.53,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-29,654.92,Economy and Environment (obsolete)-Highways & Engineering Services - Capital
2018-06-14,1536.00,Children and Young People (obsolete)-Childrens Services Unit
2018-06-04,491.67,Economy and Environment (obsolete)-Housing Services
2018-06-20,672.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-11,337.25,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-11,134.90,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-11,278.44,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-11,275.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-27,336.88,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-27,343.75,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-18,9400.00,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-18,3818.75,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-13,1453.60,Communities & Service Support (obsolete)-Recreation & Support
2018-06-13,681.66,Communities & Service Support (obsolete)-Recreation & Support
2018-06-29,207.84,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-29,207.84,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-29,103.92,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-04,450.00,Deputy Chief Executive (obsolete)-Executives Management
2018-06-04,450.00,Deputy Chief Executive (obsolete)-Executives Management
2018-06-04,500.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,1199.27,Economy and Environment (obsolete)-Corporate Asset and Facilities Management
2018-06-15,12604.00,Economy and Environment (obsolete)-Regeneration - Capital
2018-06-29,12604.00,Economy and Environment (obsolete)-Regeneration - Capital
2018-06-08,542.88,Economy and Environment (obsolete)-Transport Services
2018-06-14,425.00,Economy and Environment (obsolete)-Transport Services
2018-06-14,520.62,Economy and Environment (obsolete)-Transport Services
2018-06-07,4070.00,Economy and Environment (obsolete)-Regeneration
2018-06-07,750.00,Economy and Environment (obsolete)-Regeneration
2018-06-14,552.00,Children and Young People (obsolete)-Childrens Services Unit
2018-06-19,1242.00,Children and Young People (obsolete)-Childrens Services Unit
2018-06-19,1242.00,Children and Young People (obsolete)-Childrens Services Unit
2018-06-20,153148.00,Children and Young People (obsolete)-Education
2018-06-29,630.00,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-14,1051.07,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,1095.09,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-25,3599.47,Communities & Service Support (obsolete)-Libraries Info & Tourism
2018-06-14,10000.00,Economy and Environment (obsolete)-Regeneration - Capital
2018-06-26,798.48,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,6314.12,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,84642.52,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-27,165.00,Deputy Chief Executive (obsolete)-Human Resources
2018-06-27,330.00,Deputy Chief Executive (obsolete)-Human Resources
2018-06-26,415.40,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,5233.80,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-14,991.67,Deputy Chief Executive (obsolete)-Human Resources
2018-06-14,50.00,Deputy Chief Executive (obsolete)-Human Resources
2018-06-21,50.00,Deputy Chief Executive (obsolete)-Human Resources
2018-06-21,600.00,Deputy Chief Executive (obsolete)-Human Resources
2018-06-26,1818.16,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,3905.76,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-06,1393.68,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-06-06,1393.68,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-06-06,1393.68,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-06-06,1393.68,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-06-13,499.80,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-06-13,450.54,Communities & Service Support (obsolete)-Sport & Leisure Management DSO
2018-06-20,64907.00,Children and Young People (obsolete)-Education
2018-06-21,630.00,Children and Young People (obsolete)-Children and Young People's Serv - Central Depts.
2018-06-26,2595.68,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,646.28,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-29,15700.00,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-29,1.77,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-29,5.31,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-29,249.41,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-29,358.93,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-29,159.50,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-29,184.35,Communities & Service Support (obsolete)-Safer Cleaner Greener
2018-06-26,31150.04,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-26,14147.95,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
2018-06-01,1708.20,Communities & Service Support (obsolete)-Customer Services and Communications
2018-06-01,3985.80,Communities & Service Support (obsolete)-Customer Services and Communications
2018-06-19,2484.00,Children and Young People (obsolete)-Childrens Services Unit
2018-06-19,1620.00,Children and Young People (obsolete)-Childrens Services Unit
2018-06-19,1620.00,Children and Young People (obsolete)-Childrens Services Unit
2018-06-04,84551.85,Children and Young People (obsolete)-Education - Capital
2018-06-28,91568.29,Children and Young People (obsolete)-Education - Capital
2018-06-20,62251.00,Children and Young People (obsolete)-Education
2018-06-07,3385.20,Children and Young People (obsolete)-Childrens Care Services
2018-06-07,3215.94,Children and Young People (obsolete)-Childrens Care Services
2018-06-07,3385.20,Children and Young People (obsolete)-Childrens Care Services
2018-06-15,870.00,"Adults, Health and Social Care (obsolete)-Adult Health & Social Care"
