Payment Date,Transaction Number,Amount,Supplier Name,Supplier ID,Organisational Unit,Service Label,Service Code,SeRCOP Expenditure Category,SeRCOP Expenditure Code,SeRCOP Detailed Expenditure Type,SeRCOP Detailed Expenditure Code,Capital/Revenue,Classification
2014-09-30,7015235,0.67,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.67,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.67,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.67,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.68,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.68,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.68,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.68,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.68,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.69,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.70,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.70,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.70,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.70,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.70,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.70,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.70,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.70,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.70,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.85,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.85,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.85,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.85,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.88,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.88,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.90,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.90,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.90,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.90,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.90,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.90,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.90,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.90,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.90,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.90,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.90,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.90,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.90,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2014-09-30,7015235,0.90,REDBRIDGE PRODUCE & FLOWERS,390977,Environment & Leisure,Adult Social Care,101,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
