Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code(T),Payment Date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2019-12-16,TRAVAIL EMPLOYMENT GROUP LTD,3598618,587.83,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2019-12-18,TRAVAIL EMPLOYMENT GROUP LTD,3598624,584.14,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2019-12-23,TRAVAIL EMPLOYMENT GROUP LTD,3599390,683.50,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2019-12-30,TRAVAIL EMPLOYMENT GROUP LTD,3599692,464.78,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Business Development,Staff Advertising,2019-12-09,BLUETOWNONLINE LTD,3598091,299.00,Staff Advertising
Harrogate Borough Council,Employees,R,Community,Business Development,Temporary Staff,2019-12-23,CORDANT PEOPLE LIMITED,3598546,470.85,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Waste Disposal Charges,2019-12-23,NORTH YORKSHIRE COUNTY COUNCIL,3598370,53684.76,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Waste Disposal Charges,2019-12-23,NORTH YORKSHIRE COUNTY COUNCIL,3598371,56338.58,Rech Bank Charges
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Waste Disposal Charges,2019-12-23,NORTH YORKSHIRE COUNTY COUNCIL,3598372,47890.99,Rech Bank Charges
Harrogate Borough Council,Premises,R,Community,Business Development,Cleaning & Hygiene Services,2019-12-30,PAUL WHITAKER,3598087,456.00,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Other Consultants Fees,2019-12-09,PENNINE EVENTS LTD,3598040,4095.00,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2019-12-23,SELECTA UK LIMITED,3599291,291.96,Claro Road Depot
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2019-12-23,SELECTA UK LIMITED,3599291,291.96,Claro Road Depot
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2019-12-23,SELECTA UK LIMITED,3599291,372.04,Claro Road Depot
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Purchase of Bulk Containers,2019-12-18,SSI SCHAEFER LTD,3597637,6416.40,
Harrogate Borough Council,Employees,R,Community,Business Development,Temporary Staff,2019-12-11,TRAVAIL EMPLOYMENT GROUP LTD,3596770,522.86,Redacted Personal Data
Harrogate Borough Council,Employees,R,Community,Business Development,Temporary Staff,2019-12-11,TRAVAIL EMPLOYMENT GROUP LTD,3597197,487.36,
Harrogate Borough Council,Employees,R,Community,Business Development,Temporary Staff,2019-12-04,TRAVAIL EMPLOYMENT GROUP LTD,3597603,929.56,
Harrogate Borough Council,Employees,R,Community,Business Development,Temporary Staff,2019-12-04,TRAVAIL EMPLOYMENT GROUP LTD,3597603,164.08,
Harrogate Borough Council,Employees,R,Community,Business Development,Temporary Staff,2019-12-09,TRAVAIL EMPLOYMENT GROUP LTD,3597613,530.31,
Harrogate Borough Council,Employees,R,Community,Business Development,Temporary Staff,2019-12-09,TRAVAIL EMPLOYMENT GROUP LTD,3598127,721.15,
Harrogate Borough Council,Employees,R,Community,Business Development,Temporary Staff,2019-12-23,TRAVAIL EMPLOYMENT GROUP LTD,3598363,640.62,Redacted Personal Data
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Purchase of Bulk Containers,2019-12-04,UK CONTAINER MAINTENANCE LTD,3596951,4910.30,Claro Road
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Purchase of Bulk Containers,2019-12-23,UK CONTAINER MAINTENANCE LTD,3597984,1950.30,Purchase of Bulk Containers
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Purchase of Bulk Containers,2019-12-23,UK CONTAINER MAINTENANCE LTD,3597984,3120.48,Purchase of Bulk Containers
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2019-12-30,ALLSTAR BUSINESS SOLUTIONS LTD,3598368,102.84,AS60046921
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Stationery/Office Consumables,2019-12-23,BANNER GROUP LTD,3597904,95.73,CONSOLIDATED INVOICE
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - Bldgs,2019-12-23,DTMS LTD,3599175,1130.00,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Credit Card Services,2019-12-04,FLOWBIRD SMART CITY UK LIMITED,3596152,572.00,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Credit Card Services,2019-12-04,FLOWBIRD SMART CITY UK LIMITED,3596630,1106.58,
Harrogate Borough Council,Premises,R,Community,Car Parking,Reactive Repairs & Maint - F&F,2019-12-30,NIDDERDALE AGRICULTURAL SOCIETY,3598432,625.00,Lease of Land for Car Park Bewerley Park
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Car Parking Adjudication Serv,2019-12-02,PATROL,3597610,1522.50,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Car Parking Adjudication Serv,2019-12-02,PATROL,3597610,1522.50,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Car Parking Adjudication Serv,2019-12-02,PATROL,3597610,269.49,
Harrogate Borough Council,Transport,R,Community,Central Transport,Fuel/Oil,2019-12-30,ALLSTAR BUSINESS SOLUTIONS LTD,3598368,75.21,AS60046921
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2019-12-11,B O C LTD,3597923,256.03,Claro Road Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2019-12-11,B O C LTD,3597923,0.01,Claro Road goods
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2019-12-04,BARRY CARTER MOTOR PRODUCTS LTD,3596184,310.82,Claro Road goods
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2019-12-30,BARRY CARTER MOTOR PRODUCTS LTD,3598081,273.46,Claro Road goods
Harrogate Borough Council,Employees,R,Community,Central Transport,Staff Advertising,2019-12-11,BLUETOWNONLINE LTD,3598133,299.00,Staff Advertising
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2019-12-23,DENNIS EAGLE LTD,3597541,242.84,Claro Road goods
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2019-12-09,DENNIS EAGLE LTD,3598082,465.60,Claro Road goods
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2019-12-23,DENNIS EAGLE LTD,3599192,485.68,Claro Road goods
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2019-12-23,DENNIS EAGLE LTD,3599192,221.34,Claro Road goods
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2019-12-23,DIRECT TYRE MANAGEMENT LTD,3598235,6871.48,Tyres/Tubes
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2019-12-09,EVANS HALSHAW DAF LEEDS,3597879,240.00,Claro Road goods
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2019-12-23,EVANS HALSHAW DAF LEEDS,3597881,241.01,Claro Road goods
