Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name,TransNo,Net Amount,Narrative,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,29/07/2015,HELP-LINK UK LTD,1577026,221.18,202523/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,HELP-LINK UK LTD,1576738,"8,703.62",203514/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,HELP-LINK UK LTD,1576738,460.18,203514/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,HELP-LINK UK LTD,1576739,460.18,203512/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,HELP-LINK UK LTD,1576739,"8,703.62",203512/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,29/07/2015,HELP-LINK UK LTD,1577028,"8,792.59",205136/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,29/07/2015,HELP-LINK UK LTD,1577028,"1,284.82",205136/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Non DCS Work,29/07/2015,HELP-LINK UK LTD,4634723,"1,000.00",,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,MANSE MASTERDOR LTD,1576790,659.00,195910/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,15/07/2015,MANSE MASTERDOR LTD,1576395,702.00,195973/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,15/07/2015,MANSE MASTERDOR LTD,1576396,763.00,199533/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,15/07/2015,MANSE MASTERDOR LTD,1576397,"1,048.60",197392/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,29/07/2015,MANSE MASTERDOR LTD,1577079,"1,048.60",197393/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,MANSE MASTERDOR LTD,1576787,"1,081.60",197212/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,MATTHEW FLETCHER,1576304,30.00,204792/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,MATTHEW FLETCHER,1576304,30.00,203884/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,MATTHEW FLETCHER,1576304,30.00,204592/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,MATTHEW FLETCHER,1576304,30.00,204594/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,MATTHEW FLETCHER,1576304,30.00,204596/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,MATTHEW FLETCHER,1576304,30.00,204598/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,MATTHEW FLETCHER,1576304,30.00,204599/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,MATTHEW FLETCHER,1576304,30.00,204600/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,MATTHEW FLETCHER,1576304,30.00,204601/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,MATTHEW FLETCHER,1576304,30.00,204602/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,MATTHEW FLETCHER,1576304,30.00,204603/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,MATTHEW FLETCHER,1576304,30.00,204607/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,MATTHEW FLETCHER,1576304,30.00,204614/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,MATTHEW FLETCHER,1576304,30.00,203879/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,MATTHEW FLETCHER,1576304,30.00,203881/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,MATTHEW FLETCHER,1576304,30.00,203883/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,08/07/2015,TUNSTON CONSTRUCTION LTD,1576010,553.00,203745/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,29/07/2015,TUNSTON CONSTRUCTION LTD,1576413,796.00,202322/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,08/07/2015,TUNSTON CONSTRUCTION LTD,1576009,"1,237.00",194713/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,29/07/2015,TUNSTON CONSTRUCTION LTD,1576421,"1,293.00",205805/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,29/07/2015,TUNSTON CONSTRUCTION LTD,1576422,"1,538.50",205803/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,29/07/2015,TUNSTON CONSTRUCTION LTD,1576418,"1,542.00",205151/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,29/07/2015,TUNSTON CONSTRUCTION LTD,1576419,"1,592.00",205147/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,29/07/2015,TUNSTON CONSTRUCTION LTD,1576415,"1,650.00",202318/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,29/07/2015,TUNSTON CONSTRUCTION LTD,1576423,"1,664.50",205804/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,29/07/2015,TUNSTON CONSTRUCTION LTD,1576417,"1,671.00",205150/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,29/07/2015,TUNSTON CONSTRUCTION LTD,1576420,"1,815.50",205801/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,01/07/2015,TUNSTON CONSTRUCTION LTD,1572719,"2,025.56",196675/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,29/07/2015,TUNSTON CONSTRUCTION LTD,1576412,"2,200.50",202321/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,29/07/2015,TUNSTON CONSTRUCTION LTD,1576414,"2,340.50",202320/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,29/07/2015,TUNSTON CONSTRUCTION LTD,1576416,"2,361.50",205149/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,08/07/2015,TUNSTON CONSTRUCTION LTD,1576008,"5,800.00",183089/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,"V & T (PLUMBING, CENTRAL HEATING & BATHROOMS) LTD",1576715,"2,148.35",201844/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,"V & T (PLUMBING, CENTRAL HEATING & BATHROOMS) LTD",1576718,"2,169.84",201846/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,"V & T (PLUMBING, CENTRAL HEATING & BATHROOMS) LTD",1576716,"2,204.37",203042/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,01/07/2015,"V & T (PLUMBING, CENTRAL HEATING & BATHROOMS) LTD",1572979,"2,356.98",201839/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,01/07/2015,"V & T (PLUMBING, CENTRAL HEATING & BATHROOMS) LTD",1572982,"2,389.84",201840/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,"V & T (PLUMBING, CENTRAL HEATING & BATHROOMS) LTD",1576721,"2,394.54",203041/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,"V & T (PLUMBING, CENTRAL HEATING & BATHROOMS) LTD",1576719,"2,400.53",201845/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,01/07/2015,"V & T (PLUMBING, CENTRAL HEATING & BATHROOMS) LTD",1572983,"2,463.35",201843/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,01/07/2015,"V & T (PLUMBING, CENTRAL HEATING & BATHROOMS) LTD",1572981,"2,464.16",201841/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,01/07/2015,"V & T (PLUMBING, CENTRAL HEATING & BATHROOMS) LTD",1572980,"2,511.79",201842/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,"V & T (PLUMBING, CENTRAL HEATING & BATHROOMS) LTD",1576717,"2,518.97",203040/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,01/07/2015,"V & T (PLUMBING, CENTRAL HEATING & BATHROOMS) LTD",1572984,"2,578.85",201838/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,"V & T (PLUMBING, CENTRAL HEATING & BATHROOMS) LTD",1576720,"2,589.82",203039/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,22/07/2015,WALTER HARTLEY LTD,1576792,"1,426.80",207449/1,,,
Harrogate Borough Council,Premises,C,Community,Housing Planned Maintenance,Payments to Ext Contractors,01/07/2015,WM SAUNDERS PARTNERSHIP LLP,4632448,"6,175.00",,,,
Harrogate Borough Council,Supplies and Services,R,Community,Housing Strategy,Other Supplies & Services,22/07/2015,NORTHGATE PUBLIC SERVICES (UK) LTD,4633421,750.00,REDACTED PERSONAL DATA,,,
Harrogate Borough Council,Supplies and Services,R,Community,Licensing,Other Fees,01/07/2015,AIREWORTH VETS,4633045,252.00,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Licensing,Other Fees,22/07/2015,AIREWORTH VETS,4633401,252.00,,,,
Harrogate Borough Council,Income,R,Community,Licensing,Premises Licences,22/07/2015,CARLUCCIO?S LIMITED,4634505,320.00,Refund for overpayment Invoice 2712833,,,
Harrogate Borough Council,Supplies and Services,R,Community,Licensing,Other Supplies & Services,01/07/2015,MIKE WILSON MOTORS,4631859,671.50,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Licensing,Other Supplies & Services,22/07/2015,SIMON GRAEME LTD,4633789,880.00,,,,
Harrogate Borough Council,Premises,R,Community,Markets,Refuse Collection/Removal,29/07/2015,WETHERBY SKIP HIRE SERVICES,4634022,86.36,Valley Gardens Depot,,,
Harrogate Borough Council,Premises,R,Community,Markets,Refuse Collection/Removal,29/07/2015,WETHERBY SKIP HIRE SERVICES,4634022,86.35,Valley Gardens Depot,,,
Harrogate Borough Council,Premises,R,Community,Markets,Refuse Collection/Removal,29/07/2015,WETHERBY SKIP HIRE SERVICES,4634022,86.36,Valley Gardens Depot,,,
Harrogate Borough Council,Premises,R,Community,Markets,Refuse Collection/Removal,29/07/2015,WETHERBY SKIP HIRE SERVICES,4634022,86.35,Valley Gardens Depot,,,
Harrogate Borough Council,Premises,R,Community,Markets,Refuse Collection/Removal,29/07/2015,WETHERBY SKIP HIRE SERVICES,4634022,86.36,Valley Gardens Depot,,,
Harrogate Borough Council,Premises,R,Community,Markets,Refuse Collection/Removal,29/07/2015,WETHERBY SKIP HIRE SERVICES,4634022,86.35,Valley Gardens Depot,,,
Harrogate Borough Council,Premises,R,Community,Markets,Refuse Collection/Removal,29/07/2015,WETHERBY SKIP HIRE SERVICES,4634022,86.35,Valley Gardens Depot,,,
Harrogate Borough Council,Premises,R,Community,Markets,Refuse Collection/Removal,29/07/2015,WETHERBY SKIP HIRE SERVICES,4634022,86.36,Valley Gardens Depot,,,
Harrogate Borough Council,Premises,R,Community,Markets,Refuse Collection/Removal,29/07/2015,WETHERBY SKIP HIRE SERVICES,4634022,86.36,Valley Gardens Depot,,,
Harrogate Borough Council,Premises,R,Community,Markets,Refuse Collection/Removal,29/07/2015,WETHERBY SKIP HIRE SERVICES,4634022,86.35,Valley Gardens Depot,,,
Harrogate Borough Council,Supplies and Services,R,Community,Neighbourhood Services,Credit Card Fees,15/07/2015,ALLPAY LTD,4633854,"1,327.20",HARO,,,
Harrogate Borough Council,Supplies and Services,R,Community,Neighbourhood Services,Credit Card Fees,15/07/2015,ALLPAY LTD,4633854,74.82,HARO,,,
Harrogate Borough Council,Transfer Payments,R,Community,Neighbourhood Services,Under-occupation Grants,01/07/2015,KD CARPETS,4631942,250.00,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Neighbourhood Services,Subscriptions,15/07/2015,NORTH YORKSHIRE POLICE,4633010,"1,088.00",MAPPA CONTRIBUTIONS,,,
Harrogate Borough Council,Premises,R,Community,Neighbourhood Services,Electricity,29/07/2015,NPOWER LTD,4634604,801.63,Avondale House 33 Belmont Road,,,
Harrogate Borough Council,Supplies and Services,R,Community,Neighbourhood Services,Subscriptions,27/07/2015,THE HOUSING OMBUDSMAN,4634810,"3,709.44",,,,
Harrogate Borough Council,Premises,R,Community,Neighbourhood Services,Other Premises Related Costs,29/07/2015,WETHERBY SKIP HIRE SERVICES,4634021,185.00,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Other Services,Other Supplies & Services,08/07/2015,BROADACRES HOUSING ASSOCIATION,4633692,"8,103.74",Netherdale Rent to 21 06201 5,,,
Harrogate Borough Council,Supplies and Services,R,Community,Other Services,Other Services,01/07/2015,HAMBLETON DISTRICT COUNCIL,4632253,"6,500.00",,,,
Harrogate Borough Council,Supplies and Services,R,Community,Other Services,Other Services,01/07/2015,HAMBLETON DISTRICT COUNCIL,4632253,"3,650.00",,,,
Harrogate Borough Council,Transport,R,Community,Parks,Fuel/Oil,27/07/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4633498,"1,095.82",Jun Fuel,,,
Harrogate Borough Council,Transport,R,Community,Parks,Fuel/Oil,27/07/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4633498,25.02,Jun Fuel,,,
Harrogate Borough Council,Transport,R,Community,Parks,Fuel/Oil,13/07/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4632546,"1,149.81",Fuel June 15,,,
Harrogate Borough Council,Transport,R,Community,Parks,Fuel/Oil,13/07/2015,ALLSTAR BUSINESS SOLUTIONS LTD,4632546,19.84,Fuel June 15,,,
Harrogate Borough Council,Premises,R,Community,Parks,Grounds Maintenance Grants,29/07/2015,BALDERSBY PARISH COUNCIL,4634927,281.74,Grounds Maintenance 201516,,,
Harrogate Borough Council,Premises,C,Community,Parks,Payments to Ext Contractors,01/07/2015,BDW YORKSHIRE EAST,4633312,"16,307.00",Refund Commuted Sums,,,
Harrogate Borough Council,Supplies and Services,R,Community,Parks,Equipment,01/07/2015,BISHOP SPORT & LEISURE,4632041,707.25,,,,
Harrogate Borough Council,Premises,R,Community,Parks,Payments to Ext Contractors,29/07/2015,BOB COWELL,4634124,576.00,,,,
Harrogate Borough Council,Employees,R,Community,Parks,Temporary Staff,01/07/2015,BROOK STREET (UK) LTD,4633232,293.76,REDACTED PERSONAL DATA,,,
Harrogate Borough Council,Employees,R,Community,Parks,Temporary Staff,01/07/2015,BROOK STREET (UK) LTD,4633233,483.84,REDACTED PERSONAL DATA,,,
Harrogate Borough Council,Employees,R,Community,Parks,Temporary Staff,01/07/2015,BROOK STREET (UK) LTD,4633234,483.84,REDACTED PERSONAL DATA,,,
Harrogate Borough Council,Employees,R,Community,Parks,Temporary Staff,22/07/2015,BROOK STREET (UK) LTD,4633802,483.84,REDACTED PERSONAL DATA,,,
Harrogate Borough Council,Employees,R,Community,Parks,Temporary Staff,22/07/2015,BROOK STREET (UK) LTD,4633883,483.84,REDACTED PERSONAL DATA,,,
Harrogate Borough Council,Employees,R,Community,Parks,Temporary Staff,22/07/2015,BROOK STREET (UK) LTD,4633884,483.84,REDACTED PERSONAL DATA,,,
Harrogate Borough Council,Employees,R,Community,Parks,Temporary Staff,22/07/2015,BROOK STREET (UK) LTD,4633886,483.84,REDACTED PERSONAL DATA,,,
Harrogate Borough Council,Employees,R,Community,Parks,Temporary Staff,22/07/2015,BROOK STREET (UK) LTD,4633892,483.84,REDACTED PERSONAL DATA,,,
Harrogate Borough Council,Employees,R,Community,Parks,Temporary Staff,22/07/2015,BROOK STREET (UK) LTD,4633893,483.84,REDACTED PERSONAL DATA,,,
Harrogate Borough Council,Employees,R,Community,Parks,Temporary Staff,22/07/2015,BROOK STREET (UK) LTD,4634286,483.84,REDACTED PERSONAL DATA,,,
Harrogate Borough Council,Employees,R,Community,Parks,Temporary Staff,22/07/2015,BROOK STREET (UK) LTD,4634292,483.84,REDACTED PERSONAL DATA,,,
Harrogate Borough Council,Income,R,Community,Parks,Bond Income,06/07/2015,CANCER RESEARCH UK,4633584,250.00,Race for Life 2015 Bond Refund,,,
Harrogate Borough Council,Premises,R,Community,Parks,Payments to Ext Contractors,22/07/2015,COLTON SIGNS,4633501,186.00,,,,
Harrogate Borough Council,Premises,R,Community,Parks,Payments to Ext Contractors,22/07/2015,COLTON SIGNS,4633501,364.00,,,,
Harrogate Borough Council,Premises,R,Community,Parks,Refuse Collection/Removal,29/07/2015,D & S KITCHING LTD,4633908,225.00,SJS,,,
Harrogate Borough Council,Supplies and Services,R,Community,Parks,Hort Materials - Direct Purchase,13/07/2015,D K FIBREGLASS,4633775,210.00,,,,
Harrogate Borough Council,Premises,C,Community,Parks,Payments to Ext Contractors,01/07/2015,DR K M COATS,4631924,990.00,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Parks,Catering - Vending Purchases,08/07/2015,EDEN FARM LTD,4632581,302.51,Valley Gardens Games Hut,,,
Harrogate Borough Council,Supplies and Services,R,Community,Parks,Catering - Vending Purchases,08/07/2015,EDEN FARM LTD,4632580,339.53,Valley Gardens Games Hut,,,
Harrogate Borough Council,Supplies and Services,R,Community,Parks,Catering - Vending Purchases,29/07/2015,EDEN FARM LTD,4633340,348.48,Valley Gardens Games Hut,,,
Harrogate Borough Council,Supplies and Services,R,Community,Parks,Catering - Vending Purchases,22/07/2015,EDEN FARM LTD,4633327,353.94,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Parks,Catering - Vending Purchases,01/07/2015,EDEN FARM LTD,4632579,389.74,Valley Gardens Games Hut,,,
Harrogate Borough Council,Supplies and Services,R,Community,Parks,Catering - Vending Purchases,08/07/2015,EDEN FARM LTD,4632583,405.57,Valley Gardens Games Hut,,,
Harrogate Borough Council,Supplies and Services,R,Community,Parks,Catering - Vending Purchases,15/07/2015,EDEN FARM LTD,4633027,447.96,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Parks,Catering - Vending Purchases,29/07/2015,EDEN FARM LTD,4634006,742.21,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Parks,Catering - Vending Purchases,29/07/2015,EDEN FARM LTD,4634008,"1,095.86",,,,
Harrogate Borough Council,Premises,R,Community,Parks,Grounds Maintenance Other,13/07/2015,EVANS INTERNATIONAL LTD,4633777,550.00,,,,
Harrogate Borough Council,Income,R,Community,Parks,Bond Income,08/07/2015,FRIENDS OF VALLEY GARDENS,4633639,500.00,1940s Day Event Bond Refund,,,
Harrogate Borough Council,Premises,C,Community,Parks,Payments to Ext Contractors,29/07/2015,GREAT OUSEBURN PARISH COUNCIL,4634926,103.77,Allotment Drainage works,,,
Harrogate Borough Council,Premises,C,Community,Parks,Payments to Ext Contractors,29/07/2015,GREAT OUSEBURN PARISH COUNCIL,4634926,41.62,Allotment Drainage works,,,
Harrogate Borough Council,Premises,C,Community,Parks,Payments to Ext Contractors,29/07/2015,GREAT OUSEBURN PARISH COUNCIL,4634926,83.24,Allotment Drainage works,,,
Harrogate Borough Council,Premises,C,Community,Parks,Payments to Ext Contractors,29/07/2015,GREAT OUSEBURN PARISH COUNCIL,4634926,52.20,Allotment Drainage works,,,
Harrogate Borough Council,Premises,C,Community,Parks,Payments to Ext Contractors,29/07/2015,GREAT OUSEBURN PARISH COUNCIL,4634926,104.40,Allotment Drainage works,,,
Harrogate Borough Council,Transport,R,Community,Parks,Fuel/Oil,22/07/2015,HALL FUELS,4633424,478.96,Harlow Hill Nursery Depot,,,
Harrogate Borough Council,Transport,R,Community,Parks,Fuel/Oil,22/07/2015,HALL FUELS,4633425,946.55,Harlow Hill Nursery Depot,,,
Harrogate Borough Council,Transport,R,Community,Parks,Fuel/Oil,29/07/2015,HALL FUELS,4633978,"1,228.11",,,,
Harrogate Borough Council,Transport,R,Community,Parks,Fuel/Oil,15/07/2015,HALL FUELS,4632868,"1,241.24",,,,
Harrogate Borough Council,Transport,R,Community,Parks,Fuel/Oil,01/07/2015,HALL FUELS,4632179,"1,241.54",,,,
Harrogate Borough Council,Premises,C,Community,Parks,Payments to Ext Contractors,15/07/2015,JET-AIRE,4633225,650.00,,,,
Harrogate Borough Council,Income,R,Community,Parks,Bond Income,08/07/2015,KNARESBOROUGH LIONS,4633636,500.00,Knaresborough Bed Race,,,
Harrogate Borough Council,Premises,C,Community,Parks,Payments to Ext Contractors,13/07/2015,LIGHTMAIN COMPANY LTD,4629067,"5,600.00",,,,
Harrogate Borough Council,Supplies and Services,R,Community,Parks,Hort Materials - Direct Purchase,22/07/2015,LOGIC STREET & PARK FURNITURE LTD,4633229,"5,170.20",,,,
Harrogate Borough Council,Supplies and Services,R,Community,Parks,Equipment,29/07/2015,LYRECO,4634665,"-1,369.90",credit trans 4634108,,,
Harrogate Borough Council,Supplies and Services,R,Community,Parks,Equipment,29/07/2015,LYRECO,4634108,59.82,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Parks,Equipment,29/07/2015,LYRECO,4634108,"1,890.12",,,,
Harrogate Borough Council,Premises,R,Community,Parks,Payments to Ext Contractors,08/07/2015,NOMIX ENVIRO,4632595,30.25,,,,
Harrogate Borough Council,Premises,R,Community,Parks,Payments to Ext Contractors,08/07/2015,NOMIX ENVIRO,4632595,291.80,,,,
Harrogate Borough Council,Premises,R,Community,Parks,Payments to Ext Contractors,08/07/2015,NOMIX ENVIRO,4632595,53.00,,,,
Harrogate Borough Council,Premises,R,Community,Parks,External Security,06/07/2015,NORTH YORKSHIRE MOUNTED RANGER,4633216,"1,271.17",,,,
Harrogate Borough Council,Transport,R,Community,Parks,Hire of Vehicles/Plant,29/07/2015,NORTHGATE VEHICLE HIRE LTD,4633576,421.62,01 06201 5,,,
Harrogate Borough Council,Transport,R,Community,Parks,Hire of Vehicles/Plant,29/07/2015,NORTHGATE VEHICLE HIRE LTD,4633567,445.00,01062015,,,
Harrogate Borough Council,Premises,R,Community,Parks,Cleaning & Hygiene Services,08/07/2015,PAUL WHITAKER,4632219,480.00,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Parks,Catering - Vending Purchases,22/07/2015,PELICAN ROUGE COFFEE SOLUTIONS LTD,4633304,322.40,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Parks,Catering - Vending Purchases,22/07/2015,PELICAN ROUGE COFFEE SOLUTIONS LTD,4633304,-251.32,,,,
Harrogate Borough Council,Supplies and Services,R,Community,Parks,Catering - Vending Purchases,22/07/2015,PELICAN ROUGE COFFEE SOLUTIONS LTD,4633304,251.32,,,,
Harrogate Borough Council,Income,R,Community,Parks,Miscellaneous Income,27/07/2015,REDACTED PERSONAL DATA,4634679,161.00,Bronzehead Theatre event refund and bond refund,,,
Harrogate Borough Council,Income,R,Community,Parks,Bond Income,27/07/2015,REDACTED PERSONAL DATA,4634679,100.00,Bronzehead Theatre event refund and bond refund,,,
Harrogate Borough Council,Income,R,Community,Parks,Other Property & Land Rents,13/07/2015,ROYAL HORTICULTURAL SOCIETY,4633808,320.00,Refund of Rent,,,
Harrogate Borough Council,Premises,R,Community,Parks,Payments to Ext Contractors,01/07/2015,SK8 SAFE,4633213,718.00,,,,
Harrogate Borough Council,Premises,R,Community,Parks,Payments to Ext Contractors,01/07/2015,SK8 SAFE,4633210,845.00,Skate Park Training,,,
Harrogate Borough Council,Premises,R,Community,Parks,Payments to Ext Contractors,22/07/2015,STEEL AND MAW TREE EXPERTS,4634079,"2,995.00",,,,
Harrogate Borough Council,Premises,R,Community,Parks,Payments to Ext Contractors,22/07/2015,TESSEYMAN CONTRACTING LTD,4634219,305.00,,,,
Harrogate Borough Council,Employees,R,Community,Parks,Temporary Staff,01/07/2015,TRAVAIL EMPLOYMENT GROUP LTD,4633332,483.84,,,,
Harrogate Borough Council,Employees,R,Community,Parks,Temporary Staff,13/07/2015,TRAVAIL EMPLOYMENT GROUP LTD,4633687,483.84,,,,
Harrogate Borough Council,Employees,R,Community,Parks,Temporary Staff,13/07/2015,TRAVAIL EMPLOYMENT GROUP LTD,4633746,483.84,,,,
Harrogate Borough Council,Employees,R,Community,Parks,Temporary Staff,27/07/2015,TRAVAIL EMPLOYMENT GROUP LTD,4634647,967.68,,,,
Harrogate Borough Council,Employees,R,Community,Parks,Temporary Staff,01/07/2015,TRAVAIL EMPLOYMENT GROUP LTD,4633331,"1,163.52",,,,
Harrogate Borough Council,Employees,R,Community,Parks,Temporary Staff,13/07/2015,TRAVAIL EMPLOYMENT GROUP LTD,4633688,"1,307.53",,,,
Harrogate Borough Council,Employees,R,Community,Parks,Temporary Staff,13/07/2015,TRAVAIL EMPLOYMENT GROUP LTD,4633745,"1,451.52",,,,
Harrogate Borough Council,Employees,R,Community,Parks,Temporary Staff,27/07/2015,TRAVAIL EMPLOYMENT GROUP LTD,4634648,"1,451.52",,,,
Harrogate Borough Council,Employees,R,Community,Parks,Temporary Staff,29/07/2015,TRAVAIL EMPLOYMENT GROUP LTD,4635016,"1,451.52",,,,
Harrogate Borough Council,Supplies and Services,R,Community,Parks,Miscellaneous Expenditure,13/07/2015,UNIVAR B.V.,4633277,210.08,,,,
Harrogate Borough Council,Premises,R,Community,Parks,Refuse Collection/Removal,29/07/2015,WETHERBY SKIP HIRE SERVICES,4634022,172.71,Valley Gardens Depot,,,
Harrogate Borough Council,Premises,R,Community,Parks,Refuse Collection/Removal,29/07/2015,WETHERBY SKIP HIRE SERVICES,4634022,172.71,Valley Gardens Depot,,,
Harrogate Borough Council,Premises,R,Community,Parks,Refuse Collection/Removal,29/07/2015,WETHERBY SKIP HIRE SERVICES,4634022,172.71,Valley Gardens Depot,,,
