Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2016-12-14,225336,ALTERNATIVE WINDOWS (LEEDS) LTD,1647544,1152.27,246061/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2016-12-07,225336,ALTERNATIVE WINDOWS (LEEDS) LTD,1647279,1742.77,240790/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2016-12-21,220977,CITY LIFT SERVICES (NW) LTD,1646963,350.00,244991/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2016-12-21,220977,CITY LIFT SERVICES (NW) LTD,1647280,210.00,247254/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2016-12-07,221063,ENVIROVENT LTD,1646980,295.00,245563/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2016-12-14,221063,ENVIROVENT LTD,1646981,225.00,244995/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2016-12-21,221063,ENVIROVENT LTD,1647556,225.00,246290/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2016-12-21,221063,ENVIROVENT LTD,1647555,341.86,245749/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2016-12-28,221063,ENVIROVENT LTD,1647557,450.00,247577/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2016-12-07,221986,GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1646675,345.00,246032/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2016-12-14,221986,GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1646676,920.00,246281/1
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Equipment,2016-12-28,223502,GRAFTON MERCHANTING GB LTD,4666269,272.42,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2016-12-21,223502,GRAFTON MERCHANTING GB LTD,4666673,230.19,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2016-12-07,223502,GRAFTON MERCHANTING GB LTD,4665042,557.19,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2016-12-28,223502,GRAFTON MERCHANTING GB LTD,4666264,669.83,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2016-12-21,223502,GRAFTON MERCHANTING GB LTD,4666048,705.11,PROPERTY SERVICES
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2016-12-14,223502,GRAFTON MERCHANTING GB LTD,4665403,913.93,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2016-12-21,223502,GRAFTON MERCHANTING GB LTD,4666266,958.98,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2016-12-14,223502,GRAFTON MERCHANTING GB LTD,4665406,1006.27,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2016-12-28,223502,GRAFTON MERCHANTING GB LTD,4666265,1243.74,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2016-12-14,223502,GRAFTON MERCHANTING GB LTD,4665405,2335.01,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2016-12-21,223502,GRAFTON MERCHANTING GB LTD,4666229,2360.00,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2016-12-28,223502,GRAFTON MERCHANTING GB LTD,4666268,2484.14,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2016-12-14,223502,GRAFTON MERCHANTING GB LTD,4665404,2677.28,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2016-12-28,223502,GRAFTON MERCHANTING GB LTD,4666267,4173.25,IHMT
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246327/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246315/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246339/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246325/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246329/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246320/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246328/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246319/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246326/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246340/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246332/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246314/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246331/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246321/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246330/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246316/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246334/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246317/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246333/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246336/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246310/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246322/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246338/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246318/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246337/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246324/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246335/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-07,223750,GREENDALE LTD,1644120,35.00,246323/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2016-12-21,223637,HAVEN BUILDING & MAINTENANCE,1650053,720.00,243958/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2016-12-07,223637,HAVEN BUILDING & MAINTENANCE,1647286,746.00,244188/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2016-12-07,223637,HAVEN BUILDING & MAINTENANCE,1647285,940.00,246697/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2016-12-21,223637,HAVEN BUILDING & MAINTENANCE,1650054,2840.00,248055/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2016-12-07,223637,HAVEN BUILDING & MAINTENANCE,1647284,3944.00,246715/1
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-12,215028,HAYS SPECIALIST RECRUITMENT,4666197,297.00,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-12,215028,HAYS SPECIALIST RECRUITMENT,4666243,337.50,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-19,215028,HAYS SPECIALIST RECRUITMENT,4666599,360.00,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-21,215028,HAYS SPECIALIST RECRUITMENT,4666899,397.28,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-21,215028,HAYS SPECIALIST RECRUITMENT,4666906,408.00,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-21,215028,HAYS SPECIALIST RECRUITMENT,4666898,414.00,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-21,215028,HAYS SPECIALIST RECRUITMENT,4666915,431.25,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-19,215028,HAYS SPECIALIST RECRUITMENT,4666595,437.50,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-19,215028,HAYS SPECIALIST RECRUITMENT,4666593,444.00,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-21,215028,HAYS SPECIALIST RECRUITMENT,4666908,450.00,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-21,215028,HAYS SPECIALIST RECRUITMENT,4666907,462.50,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-12,215028,HAYS SPECIALIST RECRUITMENT,4666237,480.00,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-19,215028,HAYS SPECIALIST RECRUITMENT,4666591,499.50,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-21,215028,HAYS SPECIALIST RECRUITMENT,4666911,499.50,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-19,215028,HAYS SPECIALIST RECRUITMENT,4666592,522.00,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-07,215028,HAYS SPECIALIST RECRUITMENT,4665925,536.50,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-21,215028,HAYS SPECIALIST RECRUITMENT,4666904,536.50,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-19,215028,HAYS SPECIALIST RECRUITMENT,4666597,540.00,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-21,215028,HAYS SPECIALIST RECRUITMENT,4666903,544.00,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-12,215028,HAYS SPECIALIST RECRUITMENT,4666240,555.00,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-21,215028,HAYS SPECIALIST RECRUITMENT,4666901,555.00,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-19,215028,HAYS SPECIALIST RECRUITMENT,4666594,592.00,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-21,215028,HAYS SPECIALIST RECRUITMENT,4666905,594.00,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-12,215028,HAYS SPECIALIST RECRUITMENT,4666198,610.50,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-12,215028,HAYS SPECIALIST RECRUITMENT,4666241,610.50,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-19,215028,HAYS SPECIALIST RECRUITMENT,4666596,610.50,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-21,215028,HAYS SPECIALIST RECRUITMENT,4666745,610.50,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-21,215028,HAYS SPECIALIST RECRUITMENT,4666900,610.50,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-21,215028,HAYS SPECIALIST RECRUITMENT,4666914,610.50,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-21,215028,HAYS SPECIALIST RECRUITMENT,4666902,618.76,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2016-12-21,215028,HAYS SPECIALIST RECRUITMENT,4666912,1142.14,REDACTED - PERSONAL DATA
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650048,219.04,248386/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246484/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246503/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246505/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246544/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246545/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246547/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246549/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246552/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246513/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246514/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246517/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246520/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246522/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246523/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246538/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246540/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246543/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246556/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246576/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246577/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246582/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,234276/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,234279/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,67.58,235836/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,67.58,235861/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,67.58,237708/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,32.14,239169/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,239470/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,239584/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,242914/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,67.58,242991/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,243472/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,243744/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,243759/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,243820/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,20.60,244596/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,244956/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,245068/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,245073/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,245107/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,245108/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,245109/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,245436/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,245437/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,245438/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246506/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246507/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246510/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246511/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246512/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,245445/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,245832/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,245854/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-21,201835,HELP-LINK UK LTD,1650052,98.16,246479/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,98.16,246495/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,98.16,245859/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,98.16,245860/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,20.60,244597/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,98.16,246481/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,98.16,246469/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,98.16,246476/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,20.60,244564/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,20.60,244592/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,98.16,243771/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,98.16,244799/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,98.16,244819/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,98.16,244858/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,20.60,244555/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,98.16,244556/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,98.16,246504/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,10.30,244553/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,20.60,244554/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,98.16,245861/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,20.60,244563/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,98.16,243816/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,98.16,243817/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,98.16,243818/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,98.16,239501/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,98.16,239552/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,20.60,244598/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,20.60,244599/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2016-12-14,201835,HELP-LINK UK LTD,1647572,98.16,244893/1
