Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name(T),Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,06/07/2016,CROSSROADS TRUCK & BUS,4655742,597.24,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,20/07/2016,DENNIS EAGLE LTD,4657124,-219,CREDIT INVOICE 282182
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,20/07/2016,DENNIS EAGLE LTD,4657297,-219,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,06/07/2016,DENNIS EAGLE LTD,4654763,233.06,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,20/07/2016,DENNIS EAGLE LTD,4655654,266.4,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,13/07/2016,DENNIS EAGLE LTD,4655298,269.14,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,11/07/2016,DENNIS EAGLE LTD,4655299,323.04,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,20/07/2016,DENNIS EAGLE LTD,4655985,343.5,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,06/07/2016,DENNIS EAGLE LTD,4654903,695.19,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,27/07/2016,DENNIS EAGLE LTD,4656606,"7,699.04",
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Carriage/Delivery,06/07/2016,EURO MUNICIPAL LTD,4654631,50,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,06/07/2016,EURO MUNICIPAL LTD,4654631,250,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,13/07/2016,EURO MUNICIPAL LTD,4655673,"1,000.00",
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,20/07/2016,GIBSONS GARDEN MACHINERY LTD,4655633,20.76,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,20/07/2016,GIBSONS GARDEN MACHINERY LTD,4655633,36.35,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,20/07/2016,GIBSONS GARDEN MACHINERY LTD,4655633,289.53,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,20/07/2016,GIBSONS GARDEN MACHINERY LTD,4655633,92.85,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,13/07/2016,GIBSONS GARDEN MACHINERY LTD,4654968,200.97,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,13/07/2016,GIBSONS GARDEN MACHINERY LTD,4654968,4.2,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,13/07/2016,GIBSONS GARDEN MACHINERY LTD,4654968,8.4,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,13/07/2016,GIBSONS GARDEN MACHINERY LTD,4654968,493.46,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,13/07/2016,GIBSONS GARDEN MACHINERY LTD,4654968,81.91,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,06/07/2016,MIKE WILSON MOTORS,4654683,"1,512.34",
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,13/07/2016,MITCHELL DIESEL LTD,4655565,650.71,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,13/07/2016,PROBRUSH,4656171,178.46,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,13/07/2016,PROBRUSH,4656171,178.46,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,13/07/2016,PROBRUSH,4656171,178.46,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,13/07/2016,PROBRUSH,4656171,178.47,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,06/07/2016,PROBRUSH,4655154,375,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,06/07/2016,PROBRUSH,4655154,375,
