Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055029,1,202104,Barclaycard - Global Commercial Payments,47.41,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055031,1,202104,Barclaycard - Global Commercial Payments,30.00,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200049696,1,202104,Barclaycard - Global Commercial Payments,38.33,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200051083,1,202104,Barclaycard - Global Commercial Payments,237.50,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200051084,1,202104,Barclaycard - Global Commercial Payments,8.25,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200053816,1,202104,Barclaycard - Global Commercial Payments,156.75,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200053917,1,202104,Barclaycard - Global Commercial Payments,159.80,2021-07-09
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200055690,1,202104,Barclaycard - Global Commercial Payments,431.19,2021-07-15
"Economy, Innovation and Growth",Supplies and Services,"Furn, Equip & Mats",200055255,1,202104,Barclaycard - Global Commercial Payments,18.32,2021-07-09
"Economy, Innovation and Growth",Supplies and Services,"Furn, Equip & Mats",200054431,1,202104,Barclaycard - Global Commercial Payments,32.29,2021-07-09
"Economy, Innovation and Growth",Supplies and Services,"Furn, Equip & Mats",200054432,1,202104,Barclaycard - Global Commercial Payments,10.58,2021-07-09
"Economy, Innovation and Growth",Supplies and Services,"Furn, Equip & Mats",200054433,1,202104,Barclaycard - Global Commercial Payments,5.58,2021-07-09
"Economy, Innovation and Growth",Supplies and Services,"Furn, Equip & Mats",200054934,1,202104,Barclaycard - Global Commercial Payments,9.23,2021-07-09
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200055104,1,202104,Barclaycard - Global Commercial Payments,16.66,2021-07-09
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200053367,1,202104,Barclaycard - Global Commercial Payments,22.47,2021-07-17
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200055273,1,202104,Barclaycard - Global Commercial Payments,2.75,2021-07-17
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200054913,1,202104,Barclaycard - Global Commercial Payments,89.60,2021-07-17
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200055480,1,202104,Barclaycard - Global Commercial Payments,16.63,2021-07-17
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200056079,1,202104,Barclaycard - Global Commercial Payments,9.98,2021-07-17
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200055025,1,202104,Barclaycard - Global Commercial Payments,59.99,2021-07-09
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200055254,1,202104,Barclaycard - Global Commercial Payments,122.49,2021-07-09
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200055335,1,202104,Barclaycard - Global Commercial Payments,20.00,2021-07-09
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200053303,1,202104,Barclaycard - Global Commercial Payments,196.23,2021-07-17
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200053533,1,202104,Barclaycard - Global Commercial Payments,33.11,2021-07-17
Public Health and Wellbeing,Supplies and Services,"Furn, Equip & Mats",200055290,1,202104,Barclaycard - Global Commercial Payments,97.80,2021-07-09
Public Health and Wellbeing,Supplies and Services,"Furn, Equip & Mats",200056204,1,202104,Barclaycard - Global Commercial Payments,41.33,2021-07-09
