Date,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
2016-06,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3077999,596.8,Materials
2016-06,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3082714,2325.43,Materials
2016-06,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3082385,884.48,Materials
2016-06,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3075921,784.18,Materials
2016-06,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3078076,788.6,Materials
2016-06,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3082214,1305,Materials
2016-06,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3082581,1476.97,Materials
2016-06,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3078076,615.23,Materials
2016-06,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3077999,1801.5,Materials
2016-06,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3077999,2823.12,Materials
2016-06,Economic Growth,Transport & Capital Projects,MKM BUILDING SUPPLIES (HULL) LTD,3082385,3474.4,Materials
2016-06,Economic Growth,Transport & Capital Projects,MRC ROADS LIMITED,3083913,6439.14,Signage
2016-06,Economic Growth,Transport & Capital Projects,MRC ROADS LIMITED,3083913,2248,Signage
2016-06,Economic Growth,Transport & Capital Projects,NEWSQUEST MEDIA GROUP,3082910,655.38,Traffic Management
2016-06,Economic Growth,Transport & Capital Projects,NEWSQUEST MEDIA GROUP,3083011,1268.22,Advertising
2016-06,Economic Growth,Transport & Capital Projects,NEWSQUEST MEDIA GROUP,3082171,646.54,Traffic Management
2016-06,Economic Growth,Transport & Capital Projects,NPOWER,0,42206.36,Electricity
2016-06,Economic Growth,Transport & Capital Projects,NPOWER,0,1400,Electricity
2016-06,Economic Growth,Transport & Capital Projects,NWA SOCIAL AND MARKET RESEARCH LIMITED,3081289,3700,Traffic Management
2016-06,Economic Growth,Transport & Capital Projects,PINDAR CREATIVE,3082110,868,Marketing & Advertising
2016-06,Economic Growth,Transport & Capital Projects,PREMIER TRAFFIC MANAGEMENT,3081938,1441.01,Direct Charges - Contractors
2016-06,Economic Growth,Transport & Capital Projects,PREMIER TRAFFIC MANAGEMENT,3081938,1177.94,Direct Charges - Contractors
2016-06,Economic Growth,Transport & Capital Projects,PREMIER TRAFFIC MANAGEMENT,3081938,2309.28,Direct Charges - Contractors
2016-06,Economic Growth,Transport & Capital Projects,RENNYCO LTD,3081264,750,Materials
2016-06,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068946,810.72,Other Supplies & Services
2016-06,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068947,1310,Other Supplies & Services
2016-06,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068947,1250,Other Supplies & Services
2016-06,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068947,1375,Other Supplies & Services
2016-06,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068947,1095,Other Supplies & Services
2016-06,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068947,1280,Other Supplies & Services
2016-06,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068946,824.52,Other Supplies & Services
2016-06,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068946,1101.32,Other Supplies & Services
2016-06,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068947,1435,Other Supplies & Services
2016-06,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068946,825.52,Other Supplies & Services
2016-06,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068946,820.42,Other Supplies & Services
2016-06,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068946,1083.02,Other Supplies & Services
2016-06,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068946,784.42,Other Supplies & Services
2016-06,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068946,812.32,Other Supplies & Services
2016-06,Economic Growth,Transport & Capital Projects,SCARLET BAND MOTORS SERVICES,3068946,1095.42,Other Supplies & Services
2016-06,Economic Growth,Transport & Capital Projects,SMITH CREATIVE COMMUNICATIONS LIMITED,3083040,2670,Marketing & Advertising
2016-06,Economic Growth,Transport & Capital Projects,SUSTRANS LTD,3080303,600,Marketing & Advertising
2016-06,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3081943,845.6,Direct Charges - Contractors
2016-06,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3081943,530.4,Direct Charges - Contractors
2016-06,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3081943,795.6,Direct Charges - Contractors
2016-06,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3081943,530.4,Direct Charges - Contractors
2016-06,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3081944,1365,Waste Management
2016-06,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3081943,795.6,Direct Charges - Contractors
2016-06,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3081943,530.4,Direct Charges - Contractors
2016-06,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3081943,768,Direct Charges - Contractors
2016-06,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3081943,1152,Direct Charges - Contractors
2016-06,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3081943,791.25,Direct Charges - Contractors
2016-06,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3081943,768,Direct Charges - Contractors
2016-06,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3081943,1152,Direct Charges - Contractors
2016-06,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3081943,576.6,Direct Charges - Contractors
2016-06,Economic Growth,Transport & Capital Projects,T M WARD (DARLINGTON) LTD,3081943,505.4,Direct Charges - Contractors
