Newcastle City Council Invoices over 500 paid in August 2010
Directorate,Service Area,Payment Date,Supplier Name,Internal Ref,Capital/ Revenue,Grand Total
Adult and Culture,Libraries/Galaxy Payments,2010-08-17,REED BUSINESS INFORMATION LTD,4779538,Revenue,4500.00
Adult and Culture,Libraries/Galaxy Payments,2010-08-19,ST ANDREWS NEWSAGENCY,4775353,Revenue,606.44
Adult and Culture,Libraries/Galaxy Payments,2010-08-01,SWETS INFORMATION SERVICES LTD,4760212,Revenue,638.42
Adult and Culture,Libraries/Galaxy Payments,2010-08-26,ULVERSCROFT LARGE PRINT BOOKS LTD,4785900,Revenue,724.57
Adult and Culture,Library Admin,2010-08-19,BRIDGEALL LIBRARIES LTD,4762274,Revenue,12542.00
Adult and Culture,Library Admin,2010-08-17,COVER GOLD LTD,4747968,Revenue,1820.00
Adult and Culture,Library Admin,2010-08-17,COVER GOLD LTD,4763026,Revenue,550.00
Adult and Culture,Library Admin,2010-08-19,D-TECH DIRECT RFID LIBRARY SYSTEMS,4779931,Revenue,640.00
Adult and Culture,Library Admin,2010-08-02,HARWELL DOCUMENT RESTORATION SERVICES,4762737,Revenue,745.00
Adult and Culture,Library Admin,2010-08-09,KAJIMA NEWCASTLE LIBRARIES LTD,4768466,Revenue,273030.75
Adult and Culture,Library Admin,2010-08-23,NEOPOST-CREDIFON ACCOUNTS,4786148,Revenue,2500.00
Adult and Culture,Library Admin,2010-08-11,NORTHERN CHILDRENS BOOK FESTIVAL,4772778,Revenue,1450.00
Adult and Culture,Library Admin,2010-08-17,OCE FINANCE,4767002,Revenue,2335.00
Adult and Culture,Library Admin,2010-08-11,STEWART FOODSERVICE LTD,4764784,Revenue,507.50
Adult and Culture,Library Admin,2010-08-02,THE BIGGER SCENE,4762731,Capital,2656.34
Adult and Culture,Regen A/S Con,2010-08-22,DARLINGTON BOROUGH COUNCIL,4784047,Revenue,31684.94
Adult and Culture,Regen A/S Con,2010-08-22,GATESHEAD MBC,4784044,Revenue,81392.68
Adult and Culture,Regen A/S Con,2010-08-22,MIDDLESBROUGH BOROUGH COUNCIL,4784045,Revenue,69842.02
Adult and Culture,Regen A/S Con,2010-08-22,STOCKTON BOROUGH COUNCIL,4784048,Revenue,57682.33
Adult and Culture,Regen A/S Con,2010-08-22,SUNDERLAND CITY COUNCIL,4784046,Revenue,81737.40
Adult and Culture,Regen A/S Con,2010-08-17,CLASSIC COACHES,4779063,Revenue,4248.00
Adult and Culture,Skills For Skills,2010-08-30,ENGLISH SPEAKING BOARD(INTERNATIONAL)LTD,4748211,Revenue,1323.00
Adult and Culture,Skills For Skills,2010-08-08,UCLES,4768143,Revenue,7988.04
Adult and Culture,Social Services,2010-08-12,62 CLAYTON ROAD (RESPITE CARE),4773663,Revenue,594.55
Adult and Culture,Social Services,2010-08-11,ADELPHI HOTEL,4772240,Revenue,553.00
Adult and Culture,Social Services,2010-08-11,AT HOME IN THE COMMUNITY LTD,4772242,Revenue,1789.92
Adult and Culture,Social Services,2010-08-24,AUTO REPAIR CENTRE,4787497,Revenue,550.00
Adult and Culture,Social Services,2010-08-03,BENTINCKS LTD,4764275,Revenue,797.00
Adult and Culture,Social Services,2010-08-03,CAPABILITYS,4762834,Revenue,964.19
Adult and Culture,Social Services,2010-08-30,CAPABILITYS,4792697,Revenue,784.35
Adult and Culture,Social Services,2010-08-22,CASTLEBECK CARE LTD,4784041,Revenue,1000.00
Adult and Culture,Social Services,2010-08-11,COMENSURA LTD,4772248,Revenue,8650.27
Adult and Culture,Social Services,2010-08-11,COMENSURA LTD,4772249,Revenue,7417.91
Adult and Culture,Social Services,2010-08-26,COMENSURA LTD,4790040,Revenue,6926.07
Adult and Culture,Social Services,2010-08-26,COMENSURA LTD,4790041,Revenue,6257.76
Adult and Culture,Social Services,2010-08-30,CO-OPERATIVE FUNERALCARE,4792248,Revenue,842.56
Adult and Culture,Social Services,2010-08-19,CROFT HOUSE,4782625,Revenue,7233.49
Adult and Culture,Social Services,2010-08-04,DEMENTIA CARE PARTNERSHIP,4766026,Revenue,1353.09
Adult and Culture,Social Services,2010-08-09,DEMENTIA CARE PARTNERSHIP,4769206,Revenue,786.52
Adult and Culture,Social Services,2010-08-24,DEMENTIA CARE PARTNERSHIP,4787557,Revenue,1804.12
Adult and Culture,Social Services,2010-08-04,DIFFERENTIA LTD,4765583,Revenue,1349.00
Adult and Culture,Social Services,2010-08-17,DIFFERENTIA LTD,4778912,Revenue,730.85
Adult and Culture,Social Services,2010-08-25,EAST END & OUSEBURN COMMUNITY ASSOC,4788540,Revenue,1000.00
Adult and Culture,Social Services,2010-08-24,GUARDIAN HOMECARE & NURSING (NCLE) LTD,4787539,Revenue,540.00
Adult and Culture,Social Services,2010-08-24,GUARDIAN HOMECARE & NURSING (NCLE) LTD,4787551,Revenue,1754.42
Adult and Culture,Social Services,2010-08-11,INCLUSION NORTH CIC,4772252,Revenue,14440.00
Adult and Culture,Social Services,2010-08-15,JPM CONSULTANTS,4775202,Capital,6237.52
Adult and Culture,Social Services,2010-08-17,KNIGHT FRANK LLP,4515572,Revenue,7344.52
Adult and Culture,Social Services,2010-08-11,NEOPOST-CREDIFON ACCOUNTS,4772148,Revenue,3000.00
Adult and Culture,Social Services,2010-08-25,NEWCASTLE HEALTHY CITY PROJECT,4788541,Revenue,102545.70
Adult and Culture,Social Services,2010-08-04,NORTH EAST AUTISM SOCIETY,4766024,Revenue,1791.04
Adult and Culture,Social Services,2010-08-09,NORTH TYNESIDE COUNCIL,4769213,Revenue,4040.11
Adult and Culture,Social Services,2010-08-15,OPEN CLASP THEATRE COMPANY,4775203,Revenue,5000.00
Adult and Culture,Social Services,2010-08-11,PEACOCKS DIRECT SALES LTD,4772253,Revenue,1573.00
Adult and Culture,Social Services,2010-08-09,R W BARRETT & SON,4769201,Revenue,1060.00
Adult and Culture,Social Services,2010-08-16,R W BARRETT & SON,4775868,Revenue,656.00
Adult and Culture,Social Services,2010-08-16,R W BARRETT & SON,4775869,Revenue,1919.13
Adult and Culture,Social Services,2010-08-10,Redacted Personal Data,4770900,Revenue,2126.41
Adult and Culture,Social Services,2010-08-10,Redacted Personal Data,4770901,Revenue,2811.89
Adult and Culture,Social Services,2010-08-30,Redacted Personal Data,4792252,Revenue,830.00
Adult and Culture,Social Services,2010-08-23,Redacted Personal Data,4785488,Revenue,1900.00
Adult and Culture,Social Services,2010-08-24,Redacted Personal Data,4787562,Revenue,2036.21
Adult and Culture,Social Services,2010-08-22,Redacted Personal Data,4784040,Revenue,1834.95
Adult and Culture,Social Services,2010-08-16,Redacted Personal Data,4775926,Revenue,3836.20
Adult and Culture,Social Services,2010-08-22,Redacted Personal Data,4784057,Revenue,1051.24
Adult and Culture,Social Services,2010-08-26,Redacted Personal Data,4641482,Revenue,4524.41
Adult and Culture,Social Services,2010-08-23,Redacted Personal Data,4785486,Revenue,7500.00
Adult and Culture,Social Services,2010-08-23,Redacted Personal Data,4785485,Revenue,7500.00
Adult and Culture,Social Services,2010-08-02,Redacted Personal Data,4460913,Revenue,1425.00
