Payment Date,Benificiary Name,Amount
2012-12-19,ALLIED HEALTHCARE GROUP,10440.04
2012-12-19,ALLIED HEALTHCARE GROUP,329.46
2012-12-19,ALLIED HEALTHCARE GROUP,2883.57
2012-12-19,ALLIED HEALTHCARE GROUP,1701.85
2012-12-19,ALLIED HEALTHCARE GROUP,87.22
2012-12-19,ALLIED HEALTHCARE GROUP,11.00
2012-12-20,ALZHEIMERS SOCIETY,11437.79
2012-12-20,ALZHEIMERS SOCIETY,14504.44
2012-12-11,AMBER HOUSE RESIDENTIAL HOME,-1183.88
2012-12-11,AMBER HOUSE RESIDENTIAL HOME,12507.43
2012-12-20,ANCHOR TRUST,927.52
2012-12-15,ANDTECH SYSTEMS,372.00
2012-12-21,ANGUS MCKIE ILLUSTRATIONS,416.67
2012-12-21,ARC STOCKTON ARTS CENTRE,420.00
2012-12-04,ARCADEA,1000.00
2012-12-08,ARCO LTD,777.00
2012-12-23,AREEEBA DISTRIBUTION,360.00
2012-12-10,ARGOS BUSINESS SOLUTIONS,265.06
2012-12-20,ARK HOUSE TREATMENT CENTRE,3558.80
2012-12-24,ARK HOUSE TREATMENT CENTRE,1762.60
2012-12-15,ARNOLD CLARK,781.79
2012-12-21,ARNOLD CLARK,405.02
2013-01-02,ARNOLD CLARK,279.98
2012-12-26,ARRIVA NORTH EAST,1430.00
2012-12-03,ASHFIELD COURT,-3728.96
2012-12-03,ASHFIELD COURT,-3728.96
2012-12-03,ASHFIELD COURT,10447.56
2012-12-03,ASHFIELD COURT,10447.56
2012-12-22,ASHFIELD LODGE COMMUNITY FUND,600.00
2012-12-06,ASHFORDS LLP,121270.00
2012-12-14,ASHMOLE MINICOACHES,1020.00
2012-12-28,ASHMOLE MINICOACHES,2022.00
2012-12-30,ASHTEAD PLANT HIRE CO LTD,880.00
2012-12-30,ASHTEAD PLANT HIRE CO LTD,880.00
2012-12-13,ASIAN BUSINESS CONNEXIONS,300.00
2012-12-13,ASKEWS LIBRARY SERVICES LTD,735.88
2012-12-07,ASKEWS LIBRARY SERVICES LTD,274.86
2012-12-07,ASKEWS LIBRARY SERVICES LTD,265.06
2012-12-19,ASKEWS LIBRARY SERVICES LTD,400.05
2012-12-19,ASKEWS LIBRARY SERVICES LTD,950.10
2012-12-19,ASKEWS LIBRARY SERVICES LTD,285.43
2012-12-12,ASKEWS LIBRARY SERVICES LTD,344.78
2012-12-12,ASKEWS LIBRARY SERVICES LTD,258.32
2012-12-14,ASKEWS LIBRARY SERVICES LTD,360.05
2012-12-14,ASKEWS LIBRARY SERVICES LTD,325.05
2012-12-21,ASKEWS LIBRARY SERVICES LTD,508.66
2012-12-21,ASKEWS LIBRARY SERVICES LTD,383.05
2012-12-21,ASKEWS LIBRARY SERVICES LTD,267.66
2012-12-21,ASKEWS LIBRARY SERVICES LTD,364.59
2012-12-27,ASKEWS LIBRARY SERVICES LTD,501.37
2012-12-11,ASPINDEN WOOD CENTRE,-476.80
2012-12-11,ASPINDEN WOOD CENTRE,2760.00
2012-12-28,ASPIRATIONS CARE LTD,624.33
2012-12-28,ASPIRATIONS CARE LTD,624.33
2012-12-13,ASPIRATIONS CARE LTD,17672.50
2012-12-13,ASPIRATIONS CARE LTD,10781.46
2012-12-13,ASPIRATIONS CARE LTD,624.33
2012-12-13,ASPIRATIONS CARE LTD,624.33
2012-12-13,ASPIRATIONS CARE LTD,624.33
2012-12-13,ASPIRATIONS CARE LTD,624.33
2012-12-13,ASPIRATIONS CARE LTD,17672.50
2012-12-13,ASPIRATIONS CARE LTD,10781.46
