Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated,
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,44038838,0,201902,EDUCATION WORLD LTD,2672,2019-05-29,
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,44038985,0,201902,VISION FOR EDUCATION,1088,2019-05-30,
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,44039059,0,201902,WHEELS PROJECT,1260,2019-05-30,
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,44039083,0,201902,EDUCATION WORLD LTD,3088,2019-05-30,
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,44039088,0,201902,WHEELS PROJECT,1680,2019-05-30,
"Care, Wellbeing & Learning",Supplies and Services,"Furn, Equip & Mats",44035919,0,201902,JAMES LECKEY DESIGN LTD,3078,2019-05-02,
"Care, Wellbeing & Learning",Supplies and Services,"Furn, Equip & Mats",44036106,0,201902,JAMES LECKEY DESIGN LTD,3137,2019-05-03,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,560,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,563,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,565,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,566,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,569,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,572,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,598,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,602,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,790,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,80,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,494,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,510,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,529,201902,O2 (UK) LTD,0.75,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1635,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1183,201902,O2 (UK) LTD,1.82,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,20,201902,O2 (UK) LTD,3.12,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,826,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,917,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1074,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1147,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1589,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1701,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1962,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1986,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,"Licenses, Housing, Fees",41251861,1,201902,TRINITY CORNER NURSERY,510.3,2019-05-29,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,5,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,9,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,17,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,21,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,"Licenses, Housing, Fees",41251501,1,201902,DURHAM COUNTY COUNCIL,4000,2019-05-29,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,437,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,438,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,467,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,978,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,979,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,981,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1073,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1076,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1103,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1916,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1945,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1950,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1955,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2007,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2036,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2059,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2090,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2102,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2113,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2131,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2190,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2328,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2336,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2445,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,"Licenses, Housing, Fees",41249852,1,201902,CITY & GUILDS,156.1,2019-05-02,
"Care, Wellbeing & Learning",Supplies and Services,"Licenses, Housing, Fees",41250387,1,201902,CITY & GUILDS,750,2019-05-13,
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,300001100,2,201902,ALD HAIRDRESSING TRAINING ACADEMY,787.71,2019-05-13,
"Care, Wellbeing & Learning",Employees,Agency Staff,60091330,61,201902,GEOMETRIC RESULTS INTERNATIONAL LTD,422.3,2019-05-08,
"Care, Wellbeing & Learning",Employees,Agency Staff,60091330,69,201902,GEOMETRIC RESULTS INTERNATIONAL LTD,439.24,2019-05-08,
"Care, Wellbeing & Learning",Employees,Agency Staff,60091332,26,201902,GEOMETRIC RESULTS INTERNATIONAL LTD,430.76,2019-05-09,
"Care, Wellbeing & Learning",Employees,Agency Staff,60091332,41,201902,GEOMETRIC RESULTS INTERNATIONAL LTD,891.52,2019-05-09,
"Care, Wellbeing & Learning",Employees,Agency Staff,60091332,44,201902,GEOMETRIC RESULTS INTERNATIONAL LTD,429.61,2019-05-09,
"Care, Wellbeing & Learning",Employees,Agency Staff,60091332,45,201902,GEOMETRIC RESULTS INTERNATIONAL LTD,420.2,2019-05-09,
"Care, Wellbeing & Learning",Employees,Agency Staff,60091334,8,201902,GEOMETRIC RESULTS INTERNATIONAL LTD,439.24,2019-05-21,
"Care, Wellbeing & Learning",Employees,Agency Staff,60091334,14,201902,GEOMETRIC RESULTS INTERNATIONAL LTD,471.79,2019-05-21,
"Care, Wellbeing & Learning",Employees,Agency Staff,60091334,33,201902,GEOMETRIC RESULTS INTERNATIONAL LTD,641.69,2019-05-21,
"Care, Wellbeing & Learning",Employees,Agency Staff,60091335,10,201902,GEOMETRIC RESULTS INTERNATIONAL LTD,529.39,2019-05-21,
"Care, Wellbeing & Learning",Employees,Agency Staff,60091335,30,201902,GEOMETRIC RESULTS INTERNATIONAL LTD,673.77,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,41251027,1,201902,TRIBAL EDUCATION LTD,1025,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,44038632,0,201902,TRIBAL EDUCATION LTD,1563.38,2019-05-24,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1335,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1949,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1990,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2323,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2338,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Third Party Payments,Third Party Payments,300001100,1,201902,ALD HAIRDRESSING TRAINING ACADEMY,525.14,2019-05-13,
"Care, Wellbeing & Learning",Premises,Cleaning,44037542,0,201902,OCCUPATIONAL EXPOSURE LIMITED,732,2019-05-16,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,387,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,403,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2017,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2200,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1323,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1331,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1338,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1947,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,"Licenses, Housing, Fees",41250391,1,201902,CRECHE MOBILE PROJECT,637.5,2019-05-13,
"Care, Wellbeing & Learning",Supplies and Services,"Licenses, Housing, Fees",41251116,1,201902,REDACTED - Personal Information,1380,2019-05-21,
"Care, Wellbeing & Learning",Transport,Public Transport and Taxi Fares,41250256,1,201902,LARS CARS LTD T/A STREET CARS,1093.79,2019-05-13,
"Care, Wellbeing & Learning",Supplies and Services,"Furn, Equip & Mats",41251117,1,201902,BENSHAM GROVE COMMUNITY ASSOCIATION,1793.12,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,"Grants, Contribs & Subs",41250518,1,201902,NATSPEC LTD,500,2019-05-13,
"Care, Wellbeing & Learning",Transport,Public Transport and Taxi Fares,41250517,1,201902,NATIONAL OPEN COLLEGENETWORK,335.5,2019-05-13,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1974,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,239,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1970,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1977,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031265,20,201902,LARS CARS LTD T/A STREET CARS,550,2019-05-02,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031265,24,201902,LARS CARS LTD T/A STREET CARS,218.18,2019-05-02,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031265,26,201902,LARS CARS LTD T/A STREET CARS,171.43,2019-05-02,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031265,28,201902,LARS CARS LTD T/A STREET CARS,180,2019-05-02,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031265,30,201902,LARS CARS LTD T/A STREET CARS,293.33,2019-05-02,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031322,1,201902,BEELINE MINIBUSES,125.49,2019-05-10,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031323,1,201902,WHEELS ON WHEELS TRANSPORT SERVS,544,2019-05-10,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031366,12,201902,L&B TRAVEL LTD,157.67,2019-05-14,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031366,13,201902,L&B TRAVEL LTD,213.4,2019-05-14,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031366,18,201902,L&B TRAVEL LTD,599.5,2019-05-14,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031377,7,201902,REDACTED - Personal Information,880,2019-05-14,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031387,1,201902,RICHIE TAXIS,880,2019-05-14,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031387,2,201902,RICHIE TAXIS,219.2,2019-05-14,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031387,5,201902,RICHIE TAXIS,825,2019-05-14,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031388,1,201902,WARDLEY COACHES,100,2019-05-14,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031388,6,201902,WARDLEY COACHES,100,2019-05-14,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031389,1,201902,MS TRAVEL,103.33,2019-05-14,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031392,2,201902,REDACTED - Personal Information,450,2019-05-14,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031394,3,201902,REDACTED - Personal Information,660,2019-05-14,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031395,1,201902,NORTH EAST ACCESSIBLE TRANSPORT,340,2019-05-14,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031395,6,201902,NORTH EAST ACCESSIBLE TRANSPORT,289.4,2019-05-14,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031395,9,201902,NORTH EAST ACCESSIBLE TRANSPORT,172.85,2019-05-14,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031395,12,201902,NORTH EAST ACCESSIBLE TRANSPORT,115,2019-05-14,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031395,13,201902,NORTH EAST ACCESSIBLE TRANSPORT,628,2019-05-14,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031454,13,201902,CENTRAL TAXIS GATESHEAD LIMITED,540,2019-05-21,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031454,14,201902,CENTRAL TAXIS GATESHEAD LIMITED,540,2019-05-21,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031454,15,201902,CENTRAL TAXIS GATESHEAD LIMITED,936,2019-05-21,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031454,19,201902,CENTRAL TAXIS GATESHEAD LIMITED,171.43,2019-05-21,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031454,24,201902,CENTRAL TAXIS GATESHEAD LIMITED,660,2019-05-21,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031454,27,201902,CENTRAL TAXIS GATESHEAD LIMITED,540,2019-05-21,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031454,28,201902,CENTRAL TAXIS GATESHEAD LIMITED,70,2019-05-21,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031454,30,201902,CENTRAL TAXIS GATESHEAD LIMITED,704,2019-05-21,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031455,8,201902,CENTRAL TAXIS GATESHEAD LIMITED,139.5,2019-05-21,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031489,9,201902,DEAN TAXIS LTD,278.33,2019-05-24,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031489,11,201902,DEAN TAXIS LTD,443.1,2019-05-24,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031489,15,201902,DEAN TAXIS LTD,420,2019-05-24,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031489,17,201902,DEAN TAXIS LTD,35.25,2019-05-24,
"Care, Wellbeing & Learning",Transport,Contract Hire,148031489,28,201902,DEAN TAXIS LTD,285,2019-05-24,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,44038170,1,201902,ADD INFORMATION SERVICES LTD,10,2019-05-22,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,90,201902,O2 (UK) LTD,1.45,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,237,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,241,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,254,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,265,201902,O2 (UK) LTD,0.23,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,267,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,268,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,269,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,337,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,384,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,433,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,464,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,465,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,492,201902,O2 (UK) LTD,7.39,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,531,201902,O2 (UK) LTD,5.06,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,662,201902,O2 (UK) LTD,3.34,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,890,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,899,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,906,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,961,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1036,201902,O2 (UK) LTD,4.73,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1056,201902,O2 (UK) LTD,3.11,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1132,201902,O2 (UK) LTD,0.11,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1172,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1200,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1202,201902,O2 (UK) LTD,6.91,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1213,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1260,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1261,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1262,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1263,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1267,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1279,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1321,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1324,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1370,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1371,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1372,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1376,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1378,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1379,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1380,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1382,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1385,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1421,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1513,201902,O2 (UK) LTD,4.34,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1577,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1627,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1632,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1634,201902,O2 (UK) LTD,0.99,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1639,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1743,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1953,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,1991,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2080,201902,O2 (UK) LTD,0.99,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2085,201902,O2 (UK) LTD,0.15,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2122,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2197,201902,O2 (UK) LTD,3.56,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2201,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2214,201902,O2 (UK) LTD,7.59,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2226,201902,O2 (UK) LTD,3.71,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2232,201902,O2 (UK) LTD,5.31,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2244,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2278,201902,O2 (UK) LTD,3.06,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2334,201902,O2 (UK) LTD,0.05,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2355,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2362,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,2399,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,"Licenses, Housing, Fees",44038170,0,201902,ADD INFORMATION SERVICES LTD,525,2019-05-22,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,188,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,191,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,242,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,272,201902,O2 (UK) LTD,10,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,285,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,294,201902,O2 (UK) LTD,4.5,2019-05-21,
"Care, Wellbeing & Learning",Supplies and Services,Comms & Computing,60600028,298,201902,O2 (UK) LTD,10,2019-05-21,
