Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Expenditure Code,Payment Date,Supplier Name,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,A71,Stock Purchases,2022-06-01,223096,FUCHS LUBRICANTS (UK) PLC,3649688,1800.00,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-13,201599,GIBSONS GARDEN MACHINERY LTD,3649813,736.11,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-22,230780,GSF CAR PARTS LIMITED,3650676,675.10,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-08,228258,HAKO MACHINES LTD,3648945,615.00,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-01,202796,MEND A HOSE HYDRAULICS LTD,3648352,229.28,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-01,202796,MEND A HOSE HYDRAULICS LTD,3648351,231.16,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-08,202796,MEND A HOSE HYDRAULICS LTD,3648953,259.28,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-08,203074,NORTHERN MUNICIPAL SPARES LTD,3649874,523.90,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-08,203074,NORTHERN MUNICIPAL SPARES LTD,3649874,523.90,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-08,203074,NORTHERN MUNICIPAL SPARES LTD,3649874,523.90,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-22,227795,PV DOBSON & SONS,3649214,261.00,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-29,203607,RIPON FARM SERVICES LTD,3651114,1293.21,Claro Road
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,A71,Stock Purchases,2022-06-15,224546,RIX PETROLEUM (HULL) LIMITED,3648801,322.10,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,A71,Stock Purchases,2022-06-15,224546,RIX PETROLEUM (HULL) LIMITED,3648800,409.36,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,A71,Stock Purchases,2022-06-29,224546,RIX PETROLEUM (HULL) LIMITED,3650272,14287.95,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,A71,Stock Purchases,2022-06-15,224546,RIX PETROLEUM (HULL) LIMITED,3649197,14891.34,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,A71,Stock Purchases,2022-06-22,224546,RIX PETROLEUM (HULL) LIMITED,3649404,17458.56,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,A71,Stock Purchases,2022-06-08,224546,RIX PETROLEUM (HULL) LIMITED,3648683,18654.58,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,A71,Stock Purchases,2022-06-01,224546,RIX PETROLEUM (HULL) LIMITED,3648225,18721.21,
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-29,216424,S & W SERVICES (YORKSHIRE) LTD,3650564,268.23,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-15,216424,S & W SERVICES (YORKSHIRE) LTD,3648951,358.00,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-22,204118,TERBERG MATEC UK,3649707,265.32,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-22,204118,TERBERG MATEC UK,3650688,5505.09,Claro Road
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,171,Equipment,2022-06-22,207921,TOTAL EXTRACTION SOLUTIONS LTD,3650754,223.00,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2022-06-22,230375,YORK MOTOR FACTORS LTD,3650253,340.58,Claro Road
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,298,Surveys & Information,2022-06-13,214770,APEX RADIO SYSTEMS LTD,3636793,-187.60,Credit  DP340 DShape Earpiece NIC  and PTT
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,171,Equipment,2022-06-01,203327,PMD MAGNETICS,3649542,70.00,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,171,Equipment,2022-06-01,203327,PMD MAGNETICS,3649542,104.00,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,171,Equipment,2022-06-01,203327,PMD MAGNETICS,3649542,104.00,
