Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name,TransNo,Net Amount,Narrative
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-07-08,S & W SERVICES (YORKSHIRE) LTD,4632806,98.00,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-07-22,S & W SERVICES (YORKSHIRE) LTD,4633412,666.34,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-29,T C HARRISON JCB,4634230,7479.68,
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Carriage/Delivery,2015-07-29,TERBERG MATEC UK,4634223,14.50,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-22,TERBERG MATEC UK,4633072,215.47,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-29,TERBERG MATEC UK,4634223,382.76,
Harrogate Borough Council,Supplies and Services,R,Community,Civil Contingencies,Marketing/Promotion,2015-07-06,CITY OF YORK COUNCIL,4633405,462.00,
Harrogate Borough Council,Supplies and Services,R,Community,Civil Contingencies,Other Supplies & Services,2015-07-06,YAS (ENTERPRISES) LTD,4633368,2096.29,
Harrogate Borough Council,Premises,R,Community,Community Safety,Planned Maintenance,2015-07-01,BAYDALE CONTROL SYSTEMS LTD,4632556,2273.33,Monthly CCTV Upgrade Maintenance for the period of June 2015
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2015-07-01,EFFECTIVE SECURITY SERVICES LTD,4633311,337.50,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2015-07-22,EFFECTIVE SECURITY SERVICES LTD,4634098,337.50,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2015-07-22,EFFECTIVE SECURITY SERVICES LTD,4634099,337.50,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Surveys & Information,2015-07-22,EFFECTIVE SECURITY SERVICES LTD,4634456,337.50,
Harrogate Borough Council,Supplies and Services,R,Community,Community Safety,Licence Fees,2015-07-29,NABCP LTD,4634316,490.00,Membership Renewal
