Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment Date,Supplier Name,Transaction No,Net Amount,Narrative
Harrogate Borough Council,Premises,C,Community,Parks,Payments to Ext Contractors,2017-11-22,RAMSGILL VILLAGE HALL,4687391,1410.33,commuted sums windows
Harrogate Borough Council,Premises,C,Community,Parks,Payments to Ext Contractors,2017-11-22,SICKLINGHALL PARISH COUNCIL,4687392,478.09,Guard rail at the Pinfold
Harrogate Borough Council,Supplies and Services,C,Community,Parks,Equipment,2017-11-29,TREESAW,4686382,675,
Harrogate Borough Council,Premises,C,Community,Parks,Payments to Ext Contractors,2017-11-22,WHIXLEY WITH GREEN HAMMERTON PCC,4687420,576,reinstatEment of headstones
Harrogate Borough Council,Supplies and Services,R,Community,Parks & Street Cleansing,Waste Disposal Charges,2017-11-27,A1 TRUCK AND PLANT HIRE,4685747,1280.00,
Harrogate Borough Council,Supplies and Services,R,Community,Parks & Street Cleansing,Waste Disposal Charges,2017-11-29,A1 TRUCK AND PLANT HIRE,4686809,2340.00,
Harrogate Borough Council,Transport,R,Community,Parks & Street Cleansing,Hire of Vehicles/Plant,2017-11-01,AFI-UPLIFT LIMITED,4685172,750,Termination of Hire for the period 02102017 to 05102017
Harrogate Borough Council,Transport,R,Community,Parks & Street Cleansing,Hire of Vehicles/Plant,2017-11-01,AFI-UPLIFT LIMITED,4685173,750,Termination of Hire for the period 02102017 to 05102017
Harrogate Borough Council,Transport,R,Community,Parks & Street Cleansing,Fuel/Oil,2017-11-20,ALLSTAR BUSINESS SOLUTIONS LTD,4686884,79.87,AS60046921
Harrogate Borough Council,Transport,R,Community,Parks & Street Cleansing,Fuel/Oil,2017-11-20,ALLSTAR BUSINESS SOLUTIONS LTD,4686884,152.17,AS60046921
Harrogate Borough Council,Premises,R,Community,Parks & Street Cleansing,Water & Sewerage,2017-11-29,AQUAM WATER SERVICES,4686786,672,Claro Road
Harrogate Borough Council,Premises,R,Community,Parks & Street Cleansing,Grounds Maintenance Other,2017-11-29,BOB COWELL,4687536,65,Fitting 2 litter bins at Ripon Market Square
Harrogate Borough Council,Premises,R,Community,Parks & Street Cleansing,Reactive Repairs & Maint - F&F,2017-11-29,BOB COWELL,4687536,96,Fitting 2 litter bins at Ripon Market Square
Harrogate Borough Council,Premises,R,Community,Parks & Street Cleansing,Reactive Repairs & Maint - F&F,2017-11-29,BOB COWELL,4687536,96,Fitting 2 litter bins at Ripon Market Square
Harrogate Borough Council,Supplies and Services,R,Community,Parks & Street Cleansing,Cleaning Materials,2017-11-08,CROMWELL POLYTHENE LTD,4684983,1268.96,
Harrogate Borough Council,Supplies and Services,R,Community,Parks & Street Cleansing,Horticultural Materials,2017-11-08,JAC UITTENBOGAARD & ZONEN b.v.,4685791,3914.00,
Harrogate Borough Council,Supplies and Services,R,Community,Parks & Street Cleansing,Horticultural Materials,2017-11-08,JAC UITTENBOGAARD & ZONEN b.v.,4685185,3193.50,
Harrogate Borough Council,Premises,R,Community,Parks & Street Cleansing,Refuse Collection/Removal,2017-11-27,NORTH YORKSHIRE COUNTY COUNCIL WASTE MANAGEMENT SERVICES,4687588,117.45,
Harrogate Borough Council,Premises,R,Community,Parks & Street Cleansing,Refuse Collection/Removal,2017-11-27,NORTH YORKSHIRE COUNTY COUNCIL WASTE MANAGEMENT SERVICES,4687580,79.68,
Harrogate Borough Council,Premises,R,Community,Parks & Street Cleansing,External Security,2017-11-13,NORTH YORKSHIRE MOUNTED RANGER,4686539,1271.17,Ranger Services to Parks
Harrogate Borough Council,Transport,R,Community,Parks & Street Cleansing,Hire of Vehicles/Plant,2017-11-29,PMC HIRE & SALES CENTRE,4687108,288,HIRE OF CAMON C8 ROTAVATOR
Harrogate Borough Council,Supplies and Services,R,Community,Parks & Street Cleansing,Hort Materials - Direct Purchase,2017-11-15,QUANTIL LTD,4686114,1403.50,
Harrogate Borough Council,Supplies and Services,R,Community,Parks & Street Cleansing,Miscellaneous Expenditure,2017-11-29,REACTEC LTD,4686760,480,
Harrogate Borough Council,Employees,R,Community,Parks & Street Cleansing,Temporary Staff,2017-11-08,TRAVAIL EMPLOYMENT GROUP LTD,4686386,1160.85,
Harrogate Borough Council,Transfer Payments,C,Community,Private Sector Housing,Mand Disabled Facilities Grants,2017-11-13,BATES BUILDERS,4686537,1731.60,Disabled Facilities Grant
Harrogate Borough Council,Transfer Payments,C,Community,Private Sector Housing,Mand Disabled Facilities Grants,2017-11-13,BRIGHTER FUTURE ADAPTATIONS LTD,4686541,918.4,Disabled Facilities Grant
Harrogate Borough Council,Transfer Payments,C,Community,Private Sector Housing,Mand Disabled Facilities Grants,2017-11-01,E.A. GIBBS AND SON LTD,4685291,5215.58,Disabled Facilities Grant
Harrogate Borough Council,Transfer Payments,C,Community,Private Sector Housing,Mand Disabled Facilities Grants,2017-11-29,PASSMORE,4687818,546,DISABLED FACILITIES GRANT
Harrogate Borough Council,Transfer Payments,C,Community,Private Sector Housing,Mand Disabled Facilities Grants,2017-11-01,PASSMORE,4685994,6648.47,DISABLED FACILITIES GRANT
Harrogate Borough Council,Transfer Payments,C,Community,Private Sector Housing,Mand Disabled Facilities Grants,2017-11-29,RDV CONTRACTING LTD,4687906,4369.00,DISABLED FACILITIES GRANT
Harrogate Borough Council,Transfer Payments,C,Community,Private Sector Housing,Mand Disabled Facilities Grants,2017-11-01,RDV CONTRACTING LTD,4685990,8284.24,DISABLED FACILITIES GRANT
Harrogate Borough Council,Transfer Payments,C,Community,Private Sector Housing,Mand Disabled Facilities Grants,2017-11-29,YORKSHIRE HOUSING FOUNDATION,4687905,524.28,DISABLED FACILITIES GRANT
Harrogate Borough Council,Transfer Payments,C,Community,Private Sector Housing,Mand Disabled Facilities Grants,2017-11-29,YORKSHIRE HOUSING FOUNDATION,4687812,608.42,DISABLED FACILITIES GRANT
Harrogate Borough Council,Transfer Payments,C,Community,Private Sector Housing,Mand Disabled Facilities Grants,2017-11-01,YORKSHIRE HOUSING FOUNDATION,4685289,633.87,DISABLED FACILITIES GRANT
Harrogate Borough Council,Transfer Payments,C,Community,Private Sector Housing,Mand Disabled Facilities Grants,2017-11-01,YORKSHIRE HOUSING FOUNDATION,4685995,805.82,DISABLED FACILITIES GRANT
Harrogate Borough Council,Transfer Payments,C,Community,Private Sector Housing,Mand Disabled Facilities Grants,2017-11-13,YORKSHIRE HOUSING FOUNDATION,4686540,1032.00,DISABLED FACILITIES GRANT
Harrogate Borough Council,Transfer Payments,C,Community,Private Sector Housing,Mand Disabled Facilities Grants,2017-11-13,YORKSHIRE HOUSING FOUNDATION,4686536,3449.60,DISABLED FACILITIES GRANT
Harrogate Borough Council,Supplies and Services,R,Community,Property (Gen Mgmt),Valuation Fees,2017-11-15,KEMPSTON PARKES LTD,1685894,299,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2017-11-08,1ST SELECT LIMITED,4686028,286,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2017-11-20,1ST SELECT LIMITED,4686711,448.5,Scottsdale House
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2017-11-13,1ST SELECT LIMITED,4686247,481,Scottsdale House
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2017-11-13,1ST SELECT LIMITED,4686253,481,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2017-11-08,1ST SELECT LIMITED,4686371,481,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2017-11-20,1ST SELECT LIMITED,4686622,481,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2017-11-27,1ST SELECT LIMITED,4687252,481,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2017-11-27,1ST SELECT LIMITED,4687253,481,
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Fuel/Oil,2017-11-20,ALLSTAR BUSINESS SOLUTIONS LTD,4686884,1850.38,AS60046921
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2017-11-15,ALTERNATIVE WINDOWS (LEEDS) LTD,1685878,749.39,267873/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2017-11-15,ALTERNATIVE WINDOWS (LEEDS) LTD,1685877,1964.35,265959/1
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Protective Clothing,2017-11-29,ARCO LTD,4686249,211.73,Property Services
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2017-11-29,CITY LIFT SERVICES (NW) LTD,1688227,350,251531/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2017-11-08,CLARKES ENVIRONMENTAL LTD,1685573,320,263466/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2017-11-01,DUFFIELDS,1685251,399.28,267698/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2017-11-15,ENVIRONTEC LIMITED,1684930,250,267858/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2017-11-29,ENVIRONTEC LIMITED,1688253,250,268384/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2017-11-29,ENVIROVENT LTD,1685883,646.86,268115/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2017-11-15,GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1684943,330,268747/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2017-11-01,GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1684937,440,267852/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2017-11-01,GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1684935,530,267813/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2017-11-08,GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1684942,530,268360/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2017-11-22,GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1685592,600,269590/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2017-11-01,GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1684938,750,268035/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2017-11-08,GOLDSTAR MULTI CLEANING & MAINTENANCE SERVICES,1684939,995,268137/1
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Equipment,2017-11-29,GRAFTON MERCHANTING GB LTD,4686765,387,IHMT Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Equipment,2017-11-22,GRAFTON MERCHANTING GB LTD,4686756,1035.48,IHMT Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2017-11-29,GRAFTON MERCHANTING GB LTD,4686757,340.86,IHMT Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2017-11-29,GRAFTON MERCHANTING GB LTD,4687027,395.68,IHMT Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2017-11-15,GRAFTON MERCHANTING GB LTD,4685686,439.91,IHMT Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2017-11-22,GRAFTON MERCHANTING GB LTD,4686763,852.86,IHMT Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2017-11-08,GRAFTON MERCHANTING GB LTD,4685020,920.87,IHMT Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2017-11-22,GRAFTON MERCHANTING GB LTD,4686764,1302.66,IHMT Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2017-11-15,GRAFTON MERCHANTING GB LTD,4686241,1343.65,IHMT Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2017-11-08,GRAFTON MERCHANTING GB LTD,4685017,1476.50,IHMT Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2017-11-22,GRAFTON MERCHANTING GB LTD,4686956,1738.76,IHMT Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2017-11-15,GRAFTON MERCHANTING GB LTD,4686244,2249.27,IHMT Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2017-11-22,GRAFTON MERCHANTING GB LTD,4687025,2291.77,IHMT Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2017-11-29,GRAFTON MERCHANTING GB LTD,4687009,2381.43,IHMT Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2017-11-22,GRAFTON MERCHANTING GB LTD,4687005,4274.44,IHMT Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2017-11-08,GRAFTON MERCHANTING GB LTD,4685016,4383.28,IHMT Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2017-11-20,GRAFTON MERCHANTING GB LTD,4687024,5140.36,IHMT Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2017-11-29,GRAFTON MERCHANTING GB LTD,4687022,5209.88,IHMT Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2017-11-29,GRAFTON MERCHANTING GB LTD,4687676,5740.87,IHMT Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2017-11-08,GRAFTON MERCHANTING GB LTD,4685018,8908.05,IHMT Supplies
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2017-11-15,GRAFTON MERCHANTING GB LTD,4686571,3294.00,IHMT Supplies
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2017-11-29,H BEARDMORE DOBSON & SONS LTD,4687085,542.23,IHMT Supplies
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2017-11-29,HAVEN BUILDING & MAINTENANCE,1688263,500,263661/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2017-11-29,HAVEN BUILDING & MAINTENANCE,1688264,840,269740/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2017-11-15,HAVEN BUILDING & MAINTENANCE,1685886,1956.00,268645/1
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2017-11-20,HAYS SPECIALIST RECRUITMENT,4686906,431.25,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2017-11-08,HAYS SPECIALIST RECRUITMENT,4686266,443.75,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2017-11-20,HAYS SPECIALIST RECRUITMENT,4686904,443.75,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2017-11-08,HAYS SPECIALIST RECRUITMENT,4686261,610.5,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2017-11-15,HAYS SPECIALIST RECRUITMENT,4686902,610.5,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2017-11-15,HAYS SPECIALIST RECRUITMENT,4686905,610.5,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2017-11-22,HAYS SPECIALIST RECRUITMENT,4687079,610.5,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2017-11-27,HAYS SPECIALIST RECRUITMENT,4687547,610.5,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2017-11-08,HAYS SPECIALIST RECRUITMENT,4686262,647.5,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2017-11-08,HAYS SPECIALIST RECRUITMENT,4686267,647.5,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2017-11-15,HAYS SPECIALIST RECRUITMENT,4686841,647.5,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2017-11-22,HAYS SPECIALIST RECRUITMENT,4686903,647.5,
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2017-11-15,HAYS SPECIALIST RECRUITMENT,4686494,693.77,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2017-11-22,HAYS SPECIALIST RECRUITMENT,4687086,693.77,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2017-11-22,HAYS SPECIALIST RECRUITMENT,4687319,693.77,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Repairs & Maintenance,Temporary Staff,2017-11-01,HAYS SPECIALIST RECRUITMENT,4685707,828.77,REDACTED - PERSONAL DATA
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,267526/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,267529/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,267539/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,267542/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,267918/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,268235/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,268242/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,269463/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,269464/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,269467/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,269469/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,269473/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,269474/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,246493/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,268804/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,268817/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,269446/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,269448/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,269449/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,269450/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,269451/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,260563/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,260619/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,261459/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,261463/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,261482/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,261857/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,262304/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,268803/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,253224/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,257738/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,258387/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,259476/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,259501/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,259572/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,260518/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,268249/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,268258/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,268797/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,267055/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,267501/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,269453/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,269454/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,269455/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,269456/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,269460/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,269461/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,269462/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,263275/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,263375/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,264679/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,266148/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-29,HELP-LINK UK LTD,1688255,98.16,267053/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-22,HELP-LINK UK LTD,1687977,98.16,267933/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-22,HELP-LINK UK LTD,1687977,98.16,267949/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-22,HELP-LINK UK LTD,1687977,98.16,262314/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-22,HELP-LINK UK LTD,1687977,98.16,262329/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-22,HELP-LINK UK LTD,1687977,98.16,267086/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-22,HELP-LINK UK LTD,1687977,98.16,267522/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-22,HELP-LINK UK LTD,1687977,98.16,268268/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-22,HELP-LINK UK LTD,1687977,98.16,268784/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-22,HELP-LINK UK LTD,1687977,98.16,268790/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-22,HELP-LINK UK LTD,1687977,98.16,267530/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-22,HELP-LINK UK LTD,1687977,98.16,267531/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-22,HELP-LINK UK LTD,1687977,98.16,268805/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-22,HELP-LINK UK LTD,1687977,98.16,268806/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-22,HELP-LINK UK LTD,1687977,98.16,268807/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2017-11-22,HELP-LINK UK LTD,1687977,98.16,262770/1
